Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
