Experiment,Algorithm,Min Support,Confidence Threshold,Max Itemset Length,Accuracy,Precision,Recall,Hit Rate,MRR
11,FP-Growth,0.01,0.1,2,0.00026968716289104636,0.02912621359223301,0.0017611131960138635,0.02912621359223301,0.04522613065326633
12,Apriori,0.01,0.1,4,0.00026968716289104636,0.02912621359223301,0.0017694631938108849,0.02912621359223301,0.04522613065326633
12,FP-Growth,0.01,0.1,4,0.00026968716289104636,0.02912621359223301,0.0017694631938108849,0.02912621359223301,0.04522613065326633
13,Apriori,0.01,0.2,2,0.00026968716289104636,0.02750809061488673,0.001657516085944261,0.02750809061488673,0.04592525889239082
13,FP-Growth,0.01,0.2,2,0.00026968716289104636,0.02750809061488673,0.001657516085944261,0.02750809061488673,0.04592525889239082
14,Apriori,0.01,0.2,4,0.00026968716289104636,0.02750809061488673,0.001665866083741283,0.02750809061488673,0.04592525889239082
14,FP-Growth,0.01,0.2,4,0.00026968716289104636,0.02750809061488673,0.001665866083741283,0.02750809061488673,0.04592525889239082
15,Apriori,0.01,0.3,2,0.00026968716289104636,0.021844660194174758,0.0014348271742957912,0.021844660194174758,0.047285464098073555
15,FP-Growth,0.01,0.3,2,0.00026968716289104636,0.021844660194174758,0.0014348271742957912,0.021844660194174758,0.047285464098073555
16,Apriori,0.01,0.3,4,0.00026968716289104636,0.021844660194174758,0.0014431771720928128,0.021844660194174758,0.047285464098073555
16,FP-Growth,0.01,0.3,4,0.00026968716289104636,0.021844660194174758,0.0014431771720928128,0.021844660194174758,0.047285464098073555
17,Apriori,0.02,0.05,2,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
17,FP-Growth,0.02,0.05,2,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
18,Apriori,0.02,0.05,4,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
18,FP-Growth,0.02,0.05,4,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
19,Apriori,0.02,0.1,2,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
19,FP-Growth,0.02,0.1,2,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
20,Apriori,0.02,0.1,4,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
20,FP-Growth,0.02,0.1,4,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
21,Apriori,0.02,0.2,2,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
21,FP-Growth,0.02,0.2,2,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
22,Apriori,0.02,0.2,4,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
22,FP-Growth,0.02,0.2,4,0.00026968716289104636,0.020765911542610573,0.0014064090219946376,0.020765911542610573,0.045562130177514794
23,Apriori,0.02,0.3,2,0.00026968716289104636,0.019687162891046387,0.0013576804847026643,0.019687162891046387,0.05072967338429465
23,FP-Growth,0.02,0.3,2,0.00026968716289104636,0.019687162891046387,0.0013576804847026643,0.019687162891046387,0.05072967338429465
24,Apriori,0.02,0.3,4,0.00026968716289104636,0.019687162891046387,0.0013576804847026643,0.019687162891046387,0.05072967338429465
24,FP-Growth,0.02,0.3,4,0.00026968716289104636,0.019687162891046387,0.0013576804847026643,0.019687162891046387,0.05072967338429465
25,Apriori,0.03,0.05,2,0.0,0.0,0.0,0.0,
25,FP-Growth,0.03,0.05,2,0.0,0.0,0.0,0.0,
26,Apriori,0.03,0.05,4,0.0,0.0,0.0,0.0,
26,FP-Growth,0.03,0.05,4,0.0,0.0,0.0,0.0,
27,Apriori,0.03,0.1,2,0.0,0.0,0.0,0.0,
27,FP-Growth,0.03,0.1,2,0.0,0.0,0.0,0.0,
28,Apriori,0.03,0.1,4,0.0,0.0,0.0,0.0,
28,FP-Growth,0.03,0.1,4,0.0,0.0,0.0,0.0,
29,Apriori,0.03,0.2,2,0.0,0.0,0.0,0.0,
29,FP-Growth,0.03,0.2,2,0.0,0.0,0.0,0.0,
30,Apriori,0.03,0.2,4,0.0,0.0,0.0,0.0,
30,FP-Growth,0.03,0.2,4,0.0,0.0,0.0,0.0,
31,Apriori,0.03,0.3,2,0.0,0.0,0.0,0.0,
31,FP-Growth,0.03,0.3,2,0.0,0.0,0.0,0.0,
32,Apriori,0.03,0.3,4,0.0,0.0,0.0,0.0,
32,FP-Growth,0.03,0.3,4,0.0,0.0,0.0,0.0,
