Algorithm,Top_K,Min_Support,Confidence_Threshold,Max_Itemset_Length,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori,75,0.03,0.05,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.05,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.1,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.1,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.1,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.1,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.2,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.2,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.2,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.2,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.3,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.3,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.3,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.3,4,0.30894358256541854,0.0,0.0,0.0,0.0
