Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori (Top-K Items),0.2087378640776699,0.06229773462783172,0.013619089767090734,0.06229773462783172,0.16885964912280702
FP-Growth (Top-K Items),0.2087378640776699,0.06229773462783172,0.013619089767090734,0.06229773462783172,0.16885964912280702
