Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori,0.0,0.32605177993527507,0.018999715560108803,0.32605177993527507,0.4965092402464066
FP-Growth,0.0,0.3263214670981661,0.019015579510867103,0.3263214670981661,0.49691991786447637
