Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori (Max Length),0.0,0.3268608414239482,0.0190057195256145,0.3268608414239482,0.497741273100616
FP-Growth (Max Length),0.0,0.3271305285868393,0.019021583476372797,0.3271305285868393,0.49815195071868584
