Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori,0.0,0.3344120819848975,0.01980744938026022,0.3344120819848975,0.41513223970539004
FP-Growth,0.0,0.3346817691477886,0.019823313331018517,0.3346817691477886,0.41546702376966854
