Experiment,Algorithm,Min Support,Confidence Threshold,Max Itemset Length,Accuracy,Precision,Recall,Hit Rate,MRR
1,Apriori,0.005,0.05,2,0.00026968716289104636,0.03694714131607336,0.001989624283408682,0.03694714131607336,0.048650568181818184
1,FP-Growth,0.005,0.05,2,0.00026968716289104636,0.03694714131607336,0.001989624283408682,0.03694714131607336,0.048650568181818184
2,Apriori,0.005,0.05,4,0.00026968716289104636,0.03478964401294499,0.0018508175640189306,0.03478964401294499,0.04580965909090909
2,FP-Growth,0.005,0.05,4,0.00026968716289104636,0.03478964401294499,0.0018508175640189306,0.03478964401294499,0.04580965909090909
3,Apriori,0.005,0.1,2,0.00026968716289104636,0.03694714131607336,0.001989624283408682,0.03694714131607336,0.048650568181818184
3,FP-Growth,0.005,0.1,2,0.00026968716289104636,0.03694714131607336,0.001989624283408682,0.03694714131607336,0.048650568181818184
4,Apriori,0.005,0.1,4,0.00026968716289104636,0.03478964401294499,0.0018508175640189306,0.03478964401294499,0.04580965909090909
4,FP-Growth,0.005,0.1,4,0.00026968716289104636,0.03478964401294499,0.0018508175640189306,0.03478964401294499,0.04580965909090909
5,Apriori,0.005,0.2,2,0.00026968716289104636,0.0337108953613808,0.0017851468911699922,0.0337108953613808,0.04693954187007135
5,FP-Growth,0.005,0.2,2,0.00026968716289104636,0.0337108953613808,0.0017851468911699922,0.0337108953613808,0.04693954187007135
6,Apriori,0.005,0.2,4,0.00026968716289104636,0.03155339805825243,0.001646340171780241,0.03155339805825243,0.04393541119038678
6,FP-Growth,0.005,0.2,4,0.00026968716289104636,0.03155339805825243,0.001646340171780241,0.03155339805825243,0.04393541119038678
7,Apriori,0.005,0.3,2,0.00026968716289104636,0.029395900755124056,0.001548711517966765,0.029395900755124056,0.04791208791208791
7,FP-Growth,0.005,0.3,2,0.00026968716289104636,0.029395900755124056,0.001548711517966765,0.029395900755124056,0.04791208791208791
8,Apriori,0.005,0.3,4,0.00026968716289104636,0.027238403451995685,0.0014099047985770138,0.027238403451995685,0.044395604395604395
8,FP-Growth,0.005,0.3,4,0.00026968716289104636,0.027238403451995685,0.0014099047985770138,0.027238403451995685,0.044395604395604395
9,Apriori,0.01,0.05,2,0.00026968716289104636,0.032362459546925564,0.0017342363189799316,0.032362459546925564,0.04583651642475172
9,FP-Growth,0.01,0.05,2,0.00026968716289104636,0.032362459546925564,0.0017342363189799316,0.032362459546925564,0.04583651642475172
10,Apriori,0.01,0.05,4,0.00026968716289104636,0.03155339805825243,0.0017410430591180371,0.03155339805825243,0.044690603514132926
10,FP-Growth,0.01,0.05,4,0.00026968716289104636,0.03155339805825243,0.0017410430591180371,0.03155339805825243,0.044690603514132926
11,Apriori,0.01,0.1,2,0.00026968716289104636,0.032362459546925564,0.0017342363189799316,0.032362459546925564,0.04583651642475172
11,FP-Growth,0.01,0.1,2,0.00026968716289104636,0.032362459546925564,0.0017342363189799316,0.032362459546925564,0.04583651642475172
12,Apriori,0.01,0.1,4,0.00026968716289104636,0.03155339805825243,0.0017410430591180371,0.03155339805825243,0.044690603514132926
12,FP-Growth,0.01,0.1,4,0.00026968716289104636,0.03155339805825243,0.0017410430591180371,0.03155339805825243,0.044690603514132926
13,Apriori,0.01,0.2,2,0.00026968716289104636,0.03155339805825243,0.0016479956987587288,0.03155339805825243,0.045331266950794265
13,FP-Growth,0.01,0.2,2,0.00026968716289104636,0.03155339805825243,0.0016479956987587288,0.03155339805825243,0.045331266950794265
14,Apriori,0.01,0.2,4,0.00026968716289104636,0.030744336569579287,0.0016548024388968348,0.030744336569579287,0.04416892677256877
14,FP-Growth,0.01,0.2,4,0.00026968716289104636,0.030744336569579287,0.0016548024388968348,0.030744336569579287,0.04416892677256877
15,Apriori,0.01,0.3,2,0.00026968716289104636,0.029395900755124056,0.001548711517966765,0.029395900755124056,0.04791208791208791
15,FP-Growth,0.01,0.3,2,0.00026968716289104636,0.029395900755124056,0.001548711517966765,0.029395900755124056,0.04791208791208791
16,Apriori,0.01,0.3,4,0.00026968716289104636,0.028586839266450916,0.0015555182581048711,0.028586839266450916,0.04659340659340659
16,FP-Growth,0.01,0.3,4,0.00026968716289104636,0.028586839266450916,0.0015555182581048711,0.028586839266450916,0.04659340659340659
17,Apriori,0.02,0.05,2,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
17,FP-Growth,0.02,0.05,2,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
18,Apriori,0.02,0.05,4,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
18,FP-Growth,0.02,0.05,4,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
19,Apriori,0.02,0.1,2,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
19,FP-Growth,0.02,0.1,2,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
20,Apriori,0.02,0.1,4,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
20,FP-Growth,0.02,0.1,4,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
21,Apriori,0.02,0.2,2,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
21,FP-Growth,0.02,0.2,2,0.00026968716289104636,0.023462783171521034,0.001277314170209289,0.023462783171521034,0.04332669322709164
