Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori (Optimized),0.0,0.33117583603020495,0.01948573245616749,0.33117583603020495,0.5049342105263158
FP-Growth (Optimized),0.0,0.331445523193096,0.01950159640692579,0.331445523193096,0.5053453947368421
