Algorithm,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori (Top-K Items),0.1448220064724919,0.02669902912621359,0.002772840347374308,0.02669902912621359,0.7734375
FP-Growth (Top-K Items),0.1448220064724919,0.02669902912621359,0.002772840347374308,0.02669902912621359,0.7734375
